Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Garage,Balcony,Garden,Flooring_Type,Kitchen,Dining,Lift,Floor,Price
Rajpara,1784,1,1,2015,No,1,No,Wood,1,1,Yes,5,6817077
Shah Makhdum,2679,2,1,1993,No,0,No,Marble,2,1,Yes,1,8341758
Shah Makhdum,2447,4,1,2016,No,2,No,Tile,2,1,Yes,3,7216481
Motihar,1883,3,3,1992,No,2,No,Wood,2,1,Yes,3,7008486
Boalia,1908,4,3,2021,Yes,0,No,Tile,1,1,Yes,7,6750590
Boalia,1209,2,1,2015,No,0,No,Marble,1,1,Yes,3,3890397
Motihar,1516,2,1,2007,Yes,1,No,Tile,1,1,Yes,5,5784730
Motihar,2225,2,1,1996,No,0,Yes,Tile,2,1,Yes,4,8887748
Motihar,747,1,1,2002,No,0,No,Tile,1,1,Yes,4,2559417
Boalia,1255,3,2,1995,No,0,Yes,Marble,2,1,No,7,3995003
Shah Makhdum,2714,2,1,2020,Yes,2,Yes,Marble,1,1,Yes,1,8626567
Motihar,2416,5,2,1993,No,0,No,Tile,1,1,Yes,7,9865279
Rajpara,1902,1,1,1993,Yes,1,No,Wood,2,1,Yes,8,8365435
Motihar,1042,3,3,1997,Yes,1,No,Wood,1,1,Yes,3,3637600
Paba,998,5,3,2000,No,1,No,Marble,2,1,Yes,3,2705583
Motihar,1751,3,1,1991,No,0,No,Cement,2,1,Yes,4,6292857
Boalia,2833,3,3,2007,No,2,No,Wood,1,1,Yes,6,9850990
Motihar,2816,5,3,2007,Yes,0,No,Tile,2,1,Yes,7,10854454
Paba,2307,4,3,2011,Yes,0,No,Cement,1,1,Yes,1,7576397
Rajpara,2587,3,3,2001,No,1,Yes,Marble,1,1,No,4,11151964
Shah Makhdum,2270,4,2,2006,No,0,Yes,Wood,2,1,Yes,7,7354216
Motihar,2181,3,2,2006,Yes,2,No,Cement,1,1,Yes,2,8058582
Paba,1106,5,2,2018,No,1,No,Marble,2,1,No,1,3199412
Paba,760,3,2,2005,No,2,Yes,Marble,1,1,Yes,1,2313116
Rajpara,939,2,1,2000,No,2,No,Tile,1,1,Yes,10,3922280
Boalia,2425,2,3,2011,No,2,No,Wood,1,1,Yes,6,8456377
Motihar,2098,3,3,2019,No,0,No,Cement,1,1,Yes,5,7660517
Paba,2223,5,1,1997,No,0,No,Tile,1,1,Yes,1,6819939
Rajpara,2086,5,1,2007,No,0,No,Wood,2,1,No,10,8440693
Shah Makhdum,2106,1,2,2005,Yes,0,No,Cement,2,1,Yes,3,6641304
Paba,1776,5,2,2009,No,1,No,Marble,2,1,Yes,7,5592647
Rajpara,1422,4,3,1997,No,0,No,Marble,2,1,No,9,5440254
Boalia,1384,3,1,2019,No,1,No,Wood,2,1,No,9,4829395
Boalia,730,2,3,2018,Yes,2,No,Tile,2,1,Yes,6,2780013
Paba,2075,5,1,2002,No,1,Yes,Cement,1,1,Yes,3,6502421
Paba,2099,2,2,2006,No,0,Yes,Cement,1,1,Yes,1,6155911
Motihar,1380,1,3,2006,Yes,1,No,Marble,2,1,Yes,3,5292431
Rajpara,2307,3,3,1998,No,0,No,Wood,2,1,Yes,10,9053557
Paba,2369,5,1,1991,No,0,No,Tile,1,1,Yes,2,6556275
Motihar,1918,2,3,2013,Yes,1,No,Marble,1,1,No,5,7047791
Motihar,2538,5,2,2010,No,1,Yes,Marble,1,1,Yes,8,10339651
Paba,2058,1,3,1991,No,2,Yes,Tile,2,1,Yes,5,6126092
Boalia,975,2,1,1994,No,2,No,Cement,2,1,Yes,1,3470265
Rajpara,2851,2,3,2006,Yes,2,Yes,Cement,2,1,Yes,3,10677443
Rajpara,1260,3,2,2013,Yes,2,No,Wood,1,1,Yes,5,4895081
Boalia,2722,3,1,1997,No,2,No,Marble,1,1,Yes,7,10344807
Paba,2003,2,1,2019,Yes,1,No,Wood,2,1,No,5,5785760
Rajpara,1340,3,2,2011,No,2,No,Cement,2,1,Yes,10,5092601
Paba,903,2,1,2013,Yes,1,No,Tile,1,1,Yes,5,2468386
Paba,1685,4,1,2015,Yes,2,No,Cement,1,1,Yes,7,4647800
Motihar,1385,5,3,1997,Yes,0,No,Cement,1,1,Yes,8,5352249
Boalia,1810,4,1,2001,No,2,No,Marble,1,1,Yes,8,6537761
Paba,828,4,3,2003,No,0,No,Cement,2,1,No,7,2554337
Shah Makhdum,2454,5,2,2019,Yes,1,Yes,Wood,1,1,No,3,7915354
Boalia,867,2,2,2020,Yes,2,No,Tile,1,1,Yes,2,3029020
Rajpara,853,2,2,2017,Yes,1,No,Marble,1,1,Yes,1,3120028
Motihar,1469,3,2,2016,No,2,Yes,Tile,2,1,No,6,5962565
Rajpara,2734,1,1,1990,No,1,Yes,Wood,2,1,Yes,9,10964610
Rajpara,1804,2,1,2003,No,2,Yes,Wood,1,1,Yes,3,6684779
Boalia,1648,5,3,1999,No,2,No,Cement,1,1,Yes,5,5347915
Rajpara,2869,1,3,1996,No,0,No,Wood,1,1,No,9,11505737
Paba,1589,5,3,2003,Yes,1,Yes,Cement,2,1,Yes,9,4523479
Rajpara,996,5,1,2016,No,1,No,Marble,2,1,No,7,4320221
Motihar,1537,5,3,2000,Yes,1,No,Tile,2,1,No,4,5839372
Motihar,1039,1,1,1999,Yes,1,No,Cement,1,1,Yes,2,4325978
Shah Makhdum,2527,4,2,1996,No,1,No,Cement,2,1,No,2,8465100
Motihar,2958,5,1,2006,No,0,Yes,Marble,1,1,No,4,11938875
Rajpara,2607,3,2,2001,No,2,No,Wood,1,1,Yes,1,10196245
Motihar,634,2,3,1996,No,0,No,Cement,1,1,Yes,4,2232856
Boalia,2864,2,1,2013,No,1,No,Wood,2,1,Yes,6,10404303
Motihar,1320,2,3,1990,Yes,1,No,Cement,1,1,Yes,6,4922773
Paba,1118,1,3,2018,No,2,No,Wood,2,1,Yes,7,3655109
Boalia,868,3,2,2015,No,0,Yes,Cement,2,1,Yes,5,2851850
Shah Makhdum,1237,3,3,1999,No,2,No,Tile,1,1,Yes,9,4058550
Paba,1948,3,1,1990,No,2,No,Tile,1,1,No,2,6271852
Rajpara,1979,3,3,2006,Yes,0,Yes,Tile,2,1,Yes,2,7762158
Rajpara,689,3,2,1998,No,2,Yes,Cement,1,1,Yes,4,3006061
Rajpara,1665,4,2,2012,No,0,No,Wood,2,1,Yes,4,6096053
Paba,1988,3,3,2018,Yes,0,No,Marble,1,1,Yes,4,6067685
Paba,2294,3,2,1991,No,1,Yes,Marble,2,1,Yes,1,7263795
Paba,1989,1,3,2007,No,2,No,Marble,2,1,Yes,4,5611136
Boalia,2935,1,2,2017,No,1,No,Tile,2,1,Yes,5,9364118
Boalia,1080,3,3,1996,No,2,No,Tile,2,1,No,9,3462402
Rajpara,1100,4,3,2000,Yes,2,Yes,Tile,1,1,No,3,4240921
Motihar,2261,3,1,1996,Yes,1,No,Wood,1,1,Yes,3,8116109
Rajpara,2699,3,1,2013,Yes,1,Yes,Tile,2,1,No,5,10199823
Shah Makhdum,702,3,3,2004,No,1,No,Wood,2,1,No,10,2227764
Boalia,2047,5,1,2020,Yes,0,No,Wood,1,1,Yes,6,6569751
Paba,2563,4,1,2008,Yes,2,No,Wood,1,1,No,3,8450980
Boalia,2239,2,2,1999,No,0,No,Cement,1,1,No,1,8143389
Paba,1927,3,1,1997,No,2,Yes,Marble,1,1,Yes,10,5237925
Shah Makhdum,2279,2,2,1990,No,2,No,Wood,1,1,Yes,8,7572703
Shah Makhdum,2757,4,1,1991,Yes,0,Yes,Marble,1,1,Yes,1,9337324
Boalia,2188,3,1,2018,Yes,0,No,Wood,2,1,Yes,2,7184371
Paba,667,2,3,1999,Yes,2,Yes,Wood,1,1,No,3,2137178
Shah Makhdum,2273,2,1,1998,No,1,No,Tile,1,1,Yes,6,7436186
Rajpara,907,4,3,2020,No,1,No,Marble,2,1,No,4,3860812
Rajpara,1975,3,3,2021,No,1,No,Wood,1,1,No,4,8242375
Paba,2422,5,3,1991,Yes,1,Yes,Marble,1,1,Yes,9,7563366
Boalia,1689,4,3,2013,No,2,No,Tile,1,1,Yes,6,5507438
Shah Makhdum,1059,5,1,1995,Yes,1,Yes,Wood,1,1,Yes,2,3263954
Boalia,2994,3,3,1997,Yes,1,No,Tile,1,1,Yes,7,10527717
Rajpara,2972,2,1,2014,No,1,No,Wood,2,1,Yes,3,10966790
Shah Makhdum,1266,4,1,2014,No,2,No,Tile,1,1,Yes,9,4033774
Boalia,2222,4,2,2000,Yes,0,No,Tile,2,1,Yes,6,7691950
Motihar,1656,4,2,1990,Yes,1,Yes,Cement,2,1,No,8,5955409
Paba,667,1,2,2012,No,2,No,Wood,1,1,Yes,1,1880827
Paba,2834,3,3,1992,Yes,2,Yes,Wood,2,1,Yes,2,8072435
Motihar,2839,1,1,1990,Yes,1,No,Wood,1,1,Yes,6,11014982
Rajpara,1836,4,1,2001,Yes,0,No,Marble,2,1,No,3,7219082
Shah Makhdum,2223,4,3,2020,Yes,0,No,Cement,2,1,Yes,1,6991187
Paba,1974,5,2,2018,Yes,0,No,Marble,1,1,Yes,6,5545044
Motihar,2863,1,2,2017,No,2,No,Wood,1,1,No,5,11504674
Motihar,776,2,1,2010,Yes,1,No,Cement,1,1,Yes,9,3066975
Rajpara,2188,3,1,2000,No,1,No,Tile,1,1,Yes,6,8627852
Rajpara,1953,2,1,2015,No,2,No,Cement,1,1,Yes,5,7252976
Boalia,1225,2,2,2000,No,1,No,Tile,2,1,No,1,4471605
Paba,778,3,1,1994,No,1,Yes,Wood,2,1,Yes,1,2520180
Boalia,994,4,2,1996,No,0,No,Wood,2,1,Yes,1,3255134
Motihar,1768,5,2,2020,Yes,1,Yes,Tile,2,1,Yes,7,6856342
Shah Makhdum,1475,4,2,1997,No,1,No,Cement,2,1,No,6,4648547
Shah Makhdum,1561,4,3,2016,No,2,Yes,Marble,2,1,Yes,5,4583246
Rajpara,797,1,3,2010,No,2,No,Cement,2,1,Yes,4,3331987
Shah Makhdum,1568,2,1,2019,No,0,No,Tile,1,1,No,8,4587237
Shah Makhdum,1268,2,2,2003,No,2,Yes,Tile,1,1,Yes,8,4221714
Shah Makhdum,1876,2,1,1990,No,0,No,Marble,2,1,No,5,5740443
Motihar,2510,5,2,2013,Yes,0,No,Marble,2,1,No,4,9663252
Shah Makhdum,671,5,1,1995,No,1,Yes,Marble,1,1,No,2,2001385
Shah Makhdum,822,5,1,1995,No,0,No,Tile,1,1,Yes,7,2562481
Shah Makhdum,2923,3,3,1994,No,1,Yes,Wood,1,1,Yes,5,8612962
Boalia,1869,5,3,2004,Yes,0,Yes,Cement,1,1,No,3,6498723
Motihar,1964,1,3,1997,No,2,No,Marble,2,1,No,9,7035246
Rajpara,1523,1,3,1994,Yes,2,No,Tile,1,1,Yes,9,5711774
Boalia,1070,4,2,2020,Yes,2,No,Cement,2,1,No,10,3450757
Paba,2654,4,1,2020,No,0,No,Marble,2,1,Yes,8,8384677
Motihar,787,4,1,1997,Yes,0,No,Wood,2,1,Yes,1,3074049
Motihar,2651,4,2,1995,No,1,No,Cement,1,1,Yes,3,9382543
Paba,2268,1,2,2012,Yes,1,No,Cement,1,1,No,2,6766481
Paba,1748,4,1,2005,No,1,Yes,Tile,2,1,Yes,4,5412735
Paba,1559,1,3,1997,Yes,1,No,Tile,2,1,Yes,2,5030645
Rajpara,1229,5,3,1993,Yes,0,No,Tile,2,1,No,8,4482971
Shah Makhdum,1374,5,3,2021,Yes,0,No,Wood,1,1,Yes,1,4275760
Motihar,959,3,2,1992,Yes,1,Yes,Cement,2,1,Yes,4,3728711
Shah Makhdum,1117,4,1,2005,Yes,0,No,Marble,1,1,Yes,5,3228124
Shah Makhdum,1943,5,2,2002,Yes,0,Yes,Wood,2,1,Yes,10,5898669
Paba,2569,5,1,2022,No,0,No,Marble,2,1,Yes,4,8084489
Rajpara,1520,2,3,2011,Yes,0,No,Marble,2,1,No,8,5904575
Boalia,1534,2,3,2020,No,1,No,Tile,1,1,Yes,2,4922830
Rajpara,2586,1,3,2013,Yes,1,No,Marble,1,1,No,9,10605900
Shah Makhdum,1500,3,1,1992,No,0,No,Marble,2,1,Yes,2,4560050
Rajpara,2328,2,3,2022,No,2,Yes,Wood,1,1,Yes,2,9687560
Paba,1969,3,1,2019,No,1,No,Tile,2,1,Yes,2,6379766
Boalia,1818,5,2,2015,Yes,1,No,Marble,1,1,Yes,10,6398453
Paba,2815,1,3,2011,Yes,2,No,Marble,1,1,Yes,8,8612453
Boalia,976,3,2,2019,No,1,No,Marble,1,1,Yes,3,3425842
Shah Makhdum,2374,2,2,2014,Yes,2,Yes,Cement,2,1,Yes,10,8079108
Boalia,2105,5,1,2017,Yes,2,No,Cement,1,1,Yes,10,6986916
Boalia,1867,4,2,2022,Yes,0,No,Tile,1,1,Yes,8,6405827
Boalia,1610,5,1,2012,Yes,1,Yes,Wood,2,1,Yes,7,6080200
Rajpara,1794,2,1,2015,Yes,2,Yes,Tile,2,1,No,10,7496976
Rajpara,1830,2,2,1998,No,0,No,Cement,2,1,Yes,4,7056605
Shah Makhdum,1777,4,1,1997,Yes,1,No,Tile,2,1,Yes,7,6064696
Boalia,2695,5,1,2022,No,0,No,Wood,1,1,No,8,8939791
Motihar,2272,3,1,2004,Yes,0,No,Tile,1,1,No,6,8865290
Shah Makhdum,2528,3,2,1997,Yes,2,No,Marble,1,1,Yes,6,8828110
Boalia,772,5,1,2010,No,1,No,Wood,1,1,Yes,3,2742373
Boalia,893,3,3,1992,Yes,0,No,Wood,1,1,Yes,5,3312696
Rajpara,1151,5,2,1998,No,2,Yes,Wood,2,1,Yes,10,4820784
Shah Makhdum,2070,5,2,2003,No,2,No,Tile,1,1,No,2,7108507
Boalia,1639,2,1,2016,Yes,0,Yes,Tile,1,1,No,5,6274313
Boalia,2262,1,2,2009,No,0,No,Marble,1,1,Yes,5,7160636
Shah Makhdum,1484,2,3,1993,Yes,2,No,Wood,2,1,No,7,4300389
Motihar,1972,3,2,2013,No,0,No,Marble,2,1,Yes,4,7635112
Shah Makhdum,1826,1,2,2016,Yes,0,Yes,Wood,1,1,Yes,6,6374049
Shah Makhdum,733,5,2,2001,No,1,Yes,Cement,2,1,No,9,2338883
Motihar,1370,3,1,2017,Yes,2,No,Tile,2,1,Yes,4,5559778
Shah Makhdum,1689,4,3,2013,No,0,No,Marble,2,1,No,6,5694397
Boalia,1079,3,3,2020,No,2,No,Tile,2,1,No,9,3775179
Shah Makhdum,1462,1,3,1992,No,1,No,Tile,2,1,Yes,10,4690725
Motihar,1058,1,2,2019,No,2,No,Cement,2,1,Yes,1,3968965
Paba,1225,5,3,2016,No,2,Yes,Cement,2,1,Yes,8,3492866
Shah Makhdum,758,4,1,2006,No,2,Yes,Wood,1,1,Yes,1,2599618
Rajpara,2808,5,2,1995,Yes,1,Yes,Cement,1,1,Yes,4,10579578
Boalia,1877,4,1,2007,Yes,1,No,Wood,2,1,Yes,3,7104152
Boalia,2607,4,2,2016,Yes,2,Yes,Cement,1,1,No,4,8868516
Rajpara,2520,5,1,2006,Yes,2,Yes,Cement,1,1,Yes,7,9125418
Rajpara,1539,3,2,2000,Yes,1,No,Marble,2,1,Yes,9,5747707
Shah Makhdum,2172,2,1,2021,No,0,No,Cement,1,1,Yes,9,7489507
Rajpara,2802,4,3,2017,Yes,1,No,Marble,2,1,No,10,10375121
Paba,1031,1,2,2011,No,2,No,Cement,2,1,Yes,1,3240705
Motihar,1650,5,2,2005,Yes,0,Yes,Marble,2,1,Yes,10,5872248
Rajpara,1603,3,1,2001,Yes,0,No,Tile,1,1,No,1,6410631
Rajpara,2714,4,1,1994,No,0,Yes,Wood,1,1,Yes,9,10215945
Paba,2743,3,1,2015,No,1,No,Cement,1,1,Yes,4,7954423
Boalia,814,5,2,2015,No,1,No,Marble,1,1,No,3,2635223
Boalia,2841,1,1,2002,No,1,No,Cement,2,1,Yes,9,10054871
Shah Makhdum,2270,4,3,2013,Yes,1,No,Marble,2,1,No,5,7069070
Paba,1913,4,1,1992,No,2,No,Marble,1,1,Yes,6,5584602
Motihar,1484,3,1,2021,Yes,0,No,Cement,2,1,Yes,1,5118785
Motihar,2686,5,1,2012,Yes,2,Yes,Wood,2,1,No,1,9464007
Paba,2487,2,3,2002,No,1,No,Marble,1,1,Yes,7,7770676
Motihar,1538,4,1,2004,Yes,1,Yes,Tile,2,1,No,10,5601647
Boalia,1538,1,1,1991,Yes,2,No,Cement,1,1,No,8,5320631
Motihar,805,4,2,2000,No,0,No,Tile,2,1,No,8,3219944
Motihar,1541,4,2,2005,No,0,Yes,Marble,1,1,No,7,5791102
Paba,1154,2,1,2007,Yes,1,No,Marble,2,1,Yes,9,3272011
Paba,2119,2,2,1999,Yes,1,Yes,Cement,2,1,No,1,6420346
Motihar,1370,5,1,2002,Yes,1,No,Wood,1,1,Yes,2,5519615
Rajpara,848,4,1,2021,Yes,1,Yes,Tile,1,1,Yes,3,3459597
Paba,1697,4,3,1997,No,0,No,Wood,1,1,No,5,5009728
Shah Makhdum,972,3,1,1996,Yes,2,No,Tile,1,1,Yes,4,2877508
Shah Makhdum,2454,3,2,2006,No,0,No,Wood,2,1,Yes,4,7458138
Boalia,1434,1,2,2016,Yes,2,No,Cement,2,1,Yes,8,5466814
Motihar,1301,1,2,1997,No,1,Yes,Tile,1,1,Yes,8,5212552
Rajpara,2785,3,2,2018,Yes,1,No,Cement,2,1,No,7,10221110
Boalia,1541,1,1,2016,No,2,Yes,Wood,1,1,Yes,1,4860098
Motihar,1595,4,3,2013,Yes,1,No,Wood,1,1,Yes,10,5667543
Paba,1393,2,3,2005,No,0,No,Wood,2,1,No,4,4550003
Shah Makhdum,1277,4,1,2015,Yes,1,No,Cement,2,1,Yes,1,4151814
Rajpara,2413,3,2,2020,Yes,1,Yes,Marble,1,1,Yes,5,10305748
Shah Makhdum,2161,5,3,2016,No,1,Yes,Marble,1,1,Yes,3,6867104
Paba,1052,5,3,2015,No,1,Yes,Tile,1,1,Yes,3,3362172
Motihar,1738,3,1,2004,No,0,No,Cement,2,1,Yes,4,5988759
Paba,650,4,2,2004,No,2,Yes,Cement,2,1,No,2,1921459
Paba,1992,1,3,2012,No,1,No,Cement,2,1,Yes,7,5829700
Shah Makhdum,2138,1,1,2014,Yes,1,Yes,Wood,2,1,No,4,7500509
Rajpara,809,5,3,1993,Yes,0,Yes,Cement,1,1,No,5,3106867
Paba,1487,3,3,2005,Yes,0,No,Marble,1,1,Yes,2,4386873
Shah Makhdum,2526,3,2,2010,No,0,Yes,Tile,1,1,Yes,6,8501587
Rajpara,1449,2,2,2006,Yes,1,No,Marble,1,1,Yes,9,6237322
Motihar,2477,5,3,1992,Yes,2,No,Cement,1,1,Yes,8,10124923
Motihar,1226,3,2,1996,No,0,Yes,Tile,1,1,No,8,4560509
Boalia,2058,2,3,2001,No,0,No,Tile,2,1,Yes,2,7849188
Shah Makhdum,1850,1,3,1990,Yes,0,No,Cement,2,1,Yes,4,6101754
Rajpara,1262,5,3,1995,Yes,2,Yes,Cement,1,1,Yes,8,5402506
Paba,867,5,1,2012,Yes,1,Yes,Marble,1,1,Yes,1,2822749
Motihar,2763,3,2,2014,Yes,1,No,Marble,2,1,Yes,8,9939991
Rajpara,2223,3,2,2014,Yes,1,Yes,Wood,2,1,Yes,3,8890574
Shah Makhdum,2453,4,3,1992,No,0,No,Wood,2,1,Yes,8,7987434
Boalia,1353,1,2,1993,No,1,No,Wood,2,1,Yes,6,5021938
Motihar,1952,1,3,2019,No,0,Yes,Cement,1,1,Yes,7,7270977
Rajpara,2468,2,2,2022,Yes,2,No,Cement,1,1,No,2,9300310
Rajpara,1663,2,2,2018,No,2,No,Wood,1,1,Yes,1,6975599
Rajpara,781,4,3,1993,Yes,1,No,Wood,1,1,Yes,6,3181690
Shah Makhdum,2113,1,2,2003,No,0,No,Marble,1,1,Yes,3,7300227
Shah Makhdum,1502,2,3,2010,No,0,No,Wood,2,1,Yes,4,4955427
Shah Makhdum,1742,1,1,1996,Yes,1,Yes,Wood,1,1,No,9,5035720
Paba,2905,1,3,2010,Yes,2,No,Tile,2,1,Yes,3,9528373
Rajpara,2106,2,2,1996,No,2,No,Wood,1,1,Yes,2,8580872
Motihar,2739,3,1,1990,Yes,2,No,Tile,1,1,No,2,10607781
Shah Makhdum,2602,3,1,2012,No,2,No,Wood,1,1,No,2,9007934
Shah Makhdum,1784,2,3,1992,Yes,2,No,Tile,1,1,Yes,6,5895830
Rajpara,748,4,1,2007,No,1,No,Wood,1,1,Yes,2,2979625
Shah Makhdum,2764,5,3,2001,Yes,1,No,Marble,2,1,No,7,8150103
Paba,2692,1,2,2003,Yes,1,No,Cement,2,1,Yes,7,8822543
Paba,2400,5,3,2017,No,2,No,Tile,2,1,No,7,6593021
Shah Makhdum,2621,2,1,2013,Yes,2,Yes,Cement,1,1,No,2,7834147
Rajpara,2442,1,3,2013,Yes,1,No,Marble,1,1,No,7,10392247
Rajpara,2636,5,3,1992,Yes,1,Yes,Wood,2,1,Yes,10,10523766
Rajpara,2881,3,2,1998,Yes,2,Yes,Wood,1,1,No,8,10782473
Boalia,1998,4,3,2013,Yes,0,No,Marble,1,1,Yes,8,6693926
Shah Makhdum,2170,5,2,1991,Yes,1,No,Cement,2,1,No,2,7630087
Rajpara,2473,4,1,2017,No,2,No,Cement,1,1,Yes,5,10058225
Paba,2572,3,1,1996,Yes,2,No,Cement,2,1,Yes,6,7564169
Motihar,2844,5,3,1998,No,1,Yes,Cement,1,1,Yes,9,11620371
Motihar,2672,2,3,2022,Yes,0,No,Tile,2,1,Yes,6,10112369
Rajpara,1313,1,1,2010,Yes,2,Yes,Cement,1,1,Yes,10,5050255
Motihar,2408,3,1,2018,No,1,Yes,Tile,1,1,No,6,8535900
Motihar,822,4,1,2016,Yes,2,No,Marble,2,1,Yes,10,3276324
Boalia,1463,4,3,2006,No,2,No,Wood,1,1,No,10,5219042
Paba,1129,3,1,2012,Yes,2,Yes,Tile,1,1,Yes,6,3110860
Paba,1811,2,3,2010,No,2,No,Cement,2,1,Yes,9,5532575
Boalia,2025,2,1,1997,No,0,No,Wood,1,1,Yes,10,6604771
Boalia,2904,4,1,1998,No,1,Yes,Tile,2,1,Yes,7,11143239
Motihar,1253,3,3,2022,No,1,Yes,Wood,1,1,No,1,4532575
Shah Makhdum,1759,3,2,1993,No,1,No,Marble,1,1,Yes,1,5849467
Motihar,2442,1,3,2007,Yes,1,Yes,Cement,1,1,Yes,4,9569207
Boalia,1043,4,2,2021,Yes,1,No,Marble,1,1,Yes,2,3790205
Paba,1173,2,3,2019,No,0,No,Wood,2,1,No,3,3469730
Motihar,2776,5,2,2014,Yes,2,No,Marble,1,1,Yes,7,9650742
Shah Makhdum,1610,2,2,2022,Yes,2,No,Cement,2,1,Yes,7,5646599
Motihar,940,2,2,1991,No,1,No,Tile,1,1,Yes,3,3351626
Rajpara,1880,5,3,2002,Yes,2,Yes,Marble,1,1,Yes,2,7925659
Motihar,699,4,3,2012,No,2,No,Cement,1,1,Yes,1,2463664
Boalia,2686,1,3,2012,No,2,No,Wood,1,1,No,9,8989606
Paba,2910,2,2,2020,No,1,Yes,Marble,2,1,Yes,10,8834562
Paba,749,2,2,1991,No,1,No,Tile,2,1,Yes,3,2208113
Boalia,2256,4,3,1991,Yes,0,Yes,Marble,2,1,Yes,9,8619694
Rajpara,1953,4,3,1994,Yes,1,Yes,Wood,2,1,Yes,4,8355223
Boalia,1743,3,1,2003,No,0,No,Wood,1,1,Yes,10,6615126
Motihar,2207,4,1,2012,Yes,1,No,Wood,2,1,No,6,8622593
Boalia,2866,4,1,1990,No,2,No,Marble,2,1,No,7,9467088
Boalia,2437,2,1,2004,No,0,Yes,Marble,1,1,No,10,8561058
Rajpara,843,1,1,2019,No,0,No,Marble,1,1,No,6,3551075
Motihar,1186,2,3,2010,Yes,0,Yes,Tile,1,1,Yes,1,4114454
Shah Makhdum,2837,4,2,1997,No,1,No,Cement,1,1,Yes,6,9737704
Shah Makhdum,1455,3,2,1996,No,0,No,Marble,2,1,Yes,6,4778313
Paba,2746,1,3,2021,No,1,No,Tile,2,1,Yes,5,8606356
Boalia,2635,3,3,2022,Yes,0,No,Wood,1,1,Yes,3,9580877
Paba,1429,5,3,1995,No,1,No,Marble,1,1,Yes,10,4585171
Rajpara,1986,3,1,1999,No,0,No,Marble,1,1,Yes,3,7288653
Shah Makhdum,2316,3,1,2015,No,2,No,Marble,2,1,No,10,7228949
Boalia,2287,4,1,2015,No,2,No,Tile,2,1,No,7,8008688
Rajpara,655,4,3,2008,Yes,0,No,Marble,1,1,No,8,2644416
Rajpara,2325,4,3,1993,No,1,No,Marble,1,1,Yes,3,10123152
Boalia,2553,4,2,2014,No,1,No,Cement,2,1,Yes,3,8117837
Rajpara,1645,4,3,1997,Yes,1,Yes,Tile,1,1,Yes,7,7062173
Boalia,784,3,1,2001,No,2,Yes,Cement,1,1,Yes,10,2772483
Boalia,1121,5,2,2013,No,2,No,Cement,2,1,Yes,7,3966366
Motihar,2201,4,3,2013,No,2,No,Cement,1,1,Yes,9,8063255
Paba,2911,5,2,2006,No,1,No,Cement,2,1,Yes,6,8983847
Rajpara,1848,5,2,2014,No,1,No,Wood,1,1,Yes,7,7608457
Rajpara,2258,2,3,2022,No,1,No,Marble,1,1,Yes,10,8470740
Motihar,1661,2,1,2016,Yes,0,No,Cement,2,1,Yes,1,6535245
Motihar,1602,1,1,1991,Yes,0,No,Tile,2,1,Yes,7,5803560
Motihar,2770,2,2,1998,No,0,Yes,Marble,1,1,Yes,2,10923433
Shah Makhdum,2948,4,3,2022,No,2,No,Cement,2,1,Yes,7,9644805
Shah Makhdum,2617,5,3,2008,No,2,No,Cement,1,1,Yes,3,8736093
Shah Makhdum,2528,1,1,1994,No,1,No,Tile,1,1,Yes,9,7312512
Boalia,993,2,3,2009,Yes,0,No,Wood,2,1,No,5,3215091
Rajpara,2217,3,3,2013,No,1,Yes,Tile,1,1,No,7,9471379
Paba,1260,1,2,2020,Yes,0,Yes,Wood,1,1,Yes,8,3689826
Boalia,2028,4,3,1993,No,0,No,Wood,2,1,Yes,2,7576005
Rajpara,1754,5,3,2021,No,1,Yes,Wood,2,1,Yes,1,6402344
Rajpara,668,4,3,2003,Yes,1,Yes,Cement,1,1,Yes,7,2815952
Motihar,919,4,1,1995,Yes,0,No,Cement,2,1,Yes,6,3201486
Motihar,2824,3,1,2006,No,0,No,Wood,2,1,Yes,6,10663221
Boalia,1183,3,2,2007,No,2,No,Wood,2,1,Yes,2,4502854
Motihar,2464,5,1,1997,Yes,1,Yes,Cement,2,1,Yes,3,8572343
Rajpara,1783,2,1,2001,No,1,No,Wood,1,1,No,4,6918984
Motihar,1181,4,1,2006,No,1,No,Cement,1,1,Yes,3,4504268
Shah Makhdum,2367,2,1,2020,No,1,No,Wood,1,1,No,2,8179529
Motihar,2156,5,2,1990,No,0,No,Cement,2,1,Yes,3,7918516
Rajpara,2398,4,3,2000,No,2,No,Tile,2,1,Yes,6,10181028
Boalia,710,2,3,2005,No,1,No,Wood,2,1,No,9,2593431
Paba,1598,4,3,2017,No,0,No,Wood,2,1,No,4,4609016
Motihar,1357,3,2,1998,No,0,Yes,Tile,2,1,Yes,6,4992427
Rajpara,882,3,1,1997,Yes,0,Yes,Marble,2,1,Yes,1,3309978
Paba,2342,1,2,2014,No,0,Yes,Wood,2,1,Yes,6,7297150
Paba,2841,5,2,1999,Yes,0,Yes,Marble,1,1,Yes,3,8630564
Shah Makhdum,1670,2,2,1992,Yes,1,Yes,Tile,1,1,No,9,4975212
Paba,2989,4,3,2012,Yes,1,No,Wood,2,1,No,4,9182334
Rajpara,1993,1,1,2012,Yes,2,Yes,Marble,2,1,Yes,7,7969846
